fixture,p_panel,classical_pools_shared_across_p,prefix,analytical_p_at_least_one_opt_uniform,p_opt_uniform_single_draw,uniform_opt_hit,uniform_contains_opt,k3_opt_hit,hardware_opt_hit,hardware_n_blocks,exact_enumeration_opt_hit,greedy_selected_utility,exact_optimum,sample_origin,analysis_type
D2,1,True,1024,0.9999999999999925,0.03125,"{""mean"": 0.031890869140625, ""n"": 32, ""stdev"": 0.006317580940134153}","{""mean"": 1.0, ""n"": 32, ""stdev"": 0.0}","{""mean"": 0.102020263671875, ""n"": 32, ""stdev"": 0.00977472834673049}","{""mean"": 0.0517578125, ""n"": 6, ""stdev"": 0.007606329066111929}",6,0.03125,23.0,23.0,post_collection_classical_controls,post_collection_classical_controls
D2,2,True,1024,0.9999999999999925,0.03125,"{""mean"": 0.031890869140625, ""n"": 32, ""stdev"": 0.006317580940134153}","{""mean"": 1.0, ""n"": 32, ""stdev"": 0.0}","{""mean"": 0.102020263671875, ""n"": 32, ""stdev"": 0.00977472834673049}","{""mean"": 0.09342447916666667, ""n"": 6, ""stdev"": 0.011229289264752826}",6,0.03125,23.0,23.0,post_collection_classical_controls,post_collection_classical_controls
D3,1,True,1,0.015625,0.015625,"{""mean"": 0.0, ""n"": 32, ""stdev"": 0.0}","{""mean"": 0.0, ""n"": 32, ""stdev"": 0.0}","{""mean"": 0.03125, ""n"": 32, ""stdev"": 0.17399263633843817}","{""mean"": 0.0, ""n"": 6, ""stdev"": 0.0}",6,0.015625,21.0,23.0,post_collection_classical_controls,post_collection_classical_controls
D3,2,True,1,0.015625,0.015625,"{""mean"": 0.0, ""n"": 32, ""stdev"": 0.0}","{""mean"": 0.0, ""n"": 32, ""stdev"": 0.0}","{""mean"": 0.03125, ""n"": 32, ""stdev"": 0.17399263633843817}","{""mean"": 0.16666666666666666, ""n"": 6, ""stdev"": 0.37267799624996495}",6,0.015625,21.0,23.0,post_collection_classical_controls,post_collection_classical_controls
D3,1,True,4,0.061050355434417725,0.015625,"{""mean"": 0.0078125, ""n"": 32, ""stdev"": 0.04349815908460954}","{""mean"": 0.03125, ""n"": 32, ""stdev"": 0.17399263633843817}","{""mean"": 0.0546875, ""n"": 32, ""stdev"": 0.12077831901359615}","{""mean"": 0.0, ""n"": 6, ""stdev"": 0.0}",6,0.015625,21.0,23.0,post_collection_classical_controls,post_collection_classical_controls
D3,2,True,4,0.061050355434417725,0.015625,"{""mean"": 0.0078125, ""n"": 32, ""stdev"": 0.04349815908460954}","{""mean"": 0.03125, ""n"": 32, ""stdev"": 0.17399263633843817}","{""mean"": 0.0546875, ""n"": 32, ""stdev"": 0.12077831901359615}","{""mean"": 0.041666666666666664, ""n"": 6, ""stdev"": 0.09316949906249124}",6,0.015625,21.0,23.0,post_collection_classical_controls,post_collection_classical_controls
D3,1,True,16,0.22273482905658715,0.015625,"{""mean"": 0.013671875, ""n"": 32, ""stdev"": 0.030194579753399037}","{""mean"": 0.1875, ""n"": 32, ""stdev"": 0.3903123748998999}","{""mean"": 0.046875, ""n"": 32, ""stdev"": 0.05846339666834283}","{""mean"": 0.0, ""n"": 6, ""stdev"": 0.0}",6,0.015625,21.0,23.0,post_collection_classical_controls,post_collection_classical_controls
D3,2,True,16,0.22273482905658715,0.015625,"{""mean"": 0.013671875, ""n"": 32, ""stdev"": 0.030194579753399037}","{""mean"": 0.1875, ""n"": 32, ""stdev"": 0.3903123748998999}","{""mean"": 0.046875, ""n"": 32, ""stdev"": 0.05846339666834283}","{""mean"": 0.010416666666666666, ""n"": 6, ""stdev"": 0.02329237476562281}",6,0.015625,21.0,23.0,post_collection_classical_controls,post_collection_classical_controls
D3,1,True,64,0.6350134757560926,0.015625,"{""mean"": 0.0166015625, ""n"": 32, ""stdev"": 0.015594452561202453}","{""mean"": 0.6875, ""n"": 32, ""stdev"": 0.46351240544347894}","{""mean"": 0.0556640625, ""n"": 32, ""stdev"": 0.029988579165593922}","{""mean"": 0.020833333333333332, ""n"": 6, ""stdev"": 0.011646187382811405}",6,0.015625,21.0,23.0,post_collection_classical_controls,post_collection_classical_controls
D3,2,True,64,0.6350134757560926,0.015625,"{""mean"": 0.0166015625, ""n"": 32, ""stdev"": 0.015594452561202453}","{""mean"": 0.6875, ""n"": 32, ""stdev"": 0.46351240544347894}","{""mean"": 0.0556640625, ""n"": 32, ""stdev"": 0.029988579165593922}","{""mean"": 0.0078125, ""n"": 6, ""stdev"": 0.0078125}",6,0.015625,21.0,23.0,post_collection_classical_controls,post_collection_classical_controls
