job_id,intent,fixture,p,pub_index,isa_qpy_sha256,n_shots,feasible_shot_fraction,optimal_hit_fraction,best_feasible_utility,exact_optimum,absolute_optimality_gap,greedy_incumbent_utility,pool_contains_optimum,strict_improvement_possible,uniform_feasibility_probability,uniform_optimal_hit_probability,evidence_type,sample_origin,block,backend
dagk0g0mhr3c73e5971g,93d8930a-4b66-41bf-bef8-6c03292e8c2d,D1,1,2,103d4e893368bdb247d0ec08bc490d38e76a045931e32c0a58356ac28107567a,1024,0.34375,0.0185546875,23.0,23.0,0.0,23.0,True,False,0.1875,0.015625,decision_hardware,decision_hardware,6,ibm_fez
dagk0g0mhr3c73e5971g,93d8930a-4b66-41bf-bef8-6c03292e8c2d,D3,1,3,6f65e347d9c98917141a91c66f9d7ea02dbee0879e12fe5e33772d397122c3de,1024,0.2509765625,0.0263671875,23.0,23.0,0.0,21.0,True,True,0.140625,0.015625,decision_hardware,decision_hardware,6,ibm_fez
dagk0g0mhr3c73e5971g,93d8930a-4b66-41bf-bef8-6c03292e8c2d,D5,1,4,37be7f480e67f3201d200e06b6695b51a6bd044106dca6d6758fad5412dba875,1024,0.20703125,0.0283203125,23.0,23.0,0.0,22.0,True,True,0.09375,0.015625,decision_hardware,decision_hardware,6,ibm_fez
dagk0g0mhr3c73e5971g,93d8930a-4b66-41bf-bef8-6c03292e8c2d,D4,2,5,064db2c31e5f942c07cb51ee3100ef70e835c1dcb72908a17ff62a6b072fc136,1024,0.2548828125,0.0087890625,24.0,24.0,0.0,24.0,True,False,0.09375,0.015625,decision_hardware,decision_hardware,6,ibm_fez
dagk0g0mhr3c73e5971g,93d8930a-4b66-41bf-bef8-6c03292e8c2d,D5,2,6,c6ba69bed63dd92f6d10b0f1f9da96c2ca4a0cd71dea2aaf3e336090128d25c2,1024,0.314453125,0.0712890625,23.0,23.0,0.0,22.0,True,True,0.09375,0.015625,decision_hardware,decision_hardware,6,ibm_fez
dagk0g0mhr3c73e5971g,93d8930a-4b66-41bf-bef8-6c03292e8c2d,D6,1,7,1a0c0a5c26f8a54f943e32343e1228a1ab449800ab939e276db8cdaf39e567a6,1024,0.1796875,0.0615234375,22.0,22.0,0.0,22.0,True,False,0.09375,0.03125,decision_hardware,decision_hardware,6,ibm_fez
dagk0g0mhr3c73e5971g,93d8930a-4b66-41bf-bef8-6c03292e8c2d,D2,1,8,6d858106402fa4a1c4f7a99a0ca8c8d6d50370f5eecdbe8f4fa12c8658ce614d,1024,0.2431640625,0.041015625,23.0,23.0,0.0,23.0,True,False,0.125,0.03125,decision_hardware,decision_hardware,6,ibm_fez
dagk0g0mhr3c73e5971g,93d8930a-4b66-41bf-bef8-6c03292e8c2d,D3,2,9,f3ef652268b92f04b13f32bd30b5db5ee9916df5ccf9be381f240178487215ba,1024,0.255859375,0.0166015625,23.0,23.0,0.0,21.0,True,True,0.140625,0.015625,decision_hardware,decision_hardware,6,ibm_fez
dagk0g0mhr3c73e5971g,93d8930a-4b66-41bf-bef8-6c03292e8c2d,D6,2,10,e9e0cf2edfc94433432e65325bac3594b4b8a82dd400bce79b7a0554f4fa6c0a,1024,0.1787109375,0.0703125,22.0,22.0,0.0,22.0,True,False,0.09375,0.03125,decision_hardware,decision_hardware,6,ibm_fez
dagk0g0mhr3c73e5971g,93d8930a-4b66-41bf-bef8-6c03292e8c2d,D2,2,11,c3401971302e82c9204e2b3c0005100da97ade048b54dfad0eb1bc777b47f244,1024,0.4365234375,0.087890625,23.0,23.0,0.0,23.0,True,False,0.125,0.03125,decision_hardware,decision_hardware,6,ibm_fez
